章,スライド番号,台本
0,1,この講座では、中高生のあなたが、NotebookLMを使って「自分の教材だけで答えてくれるAI」を手元に作る方法を学ぶ。対象は、AIを使って勉強環境を自分で構築したい中高生。全編座学で、概念と設計思想だけに絞って話す。見終わる頃には、汎用AIの「範囲外知識が混ざってくる問題」から解放されて、自分のノート・教科書・プリントを読み込んだAIを相棒として使える状態になる。さらにGemsとの役割分担も理解し、継続的に学習環境を育てていくマインドセットが手に入る。
0,2,数学の宿題が分からなくてAIに聞いたら、習ってないはずの判別式で答えが返ってきた。歴史のテストで聞いたら、教科書に載ってない学説が混ざった。英単語のニュアンスを聞いたら、もっともらしい嘘を自信満々で返された。これ、中高生あるあるだ。生成AIを使ったことがある中高生は8割を超えている。でもほとんどが「答えを聞くだけ」の使い方で、答えが自分の教材と合ってるかは誰も教えてくれない。教育委員会の37%も、AIのハルシネーション──もっともらしい嘘──を学習上の課題だと指摘している。
0,3,解決策がある。それが「先生に教材を持たせる」という発想。自分の教科書、自分のノート、自分のプリント──それだけを読んで答えてくれるAIを、自分の手元に作る。この動画を見終わるころ、あなたは「自分専用の家庭教師」の設計思想を手に入れている。さらに、どう質問すればその力を最大限引き出せるか、他のAIとどう組み合わせれば最強になるか、作った環境をどう育てるかまで、全部揃う。それじゃあ、始めよう。
1,1,この章で学ぶのは、NotebookLMという道具が「何者なのか」。機能の羅列では頭に残らない。だから先に、一つの比喩でNotebookLMの本質をつかむ。ここを飛ばすとただのツール紹介で終わるし、押さえればこのあとの章が全部つながる。3つのキーワード──ソース、RAG、グラウンディング──を使って、汎用AIとの決定的な違いを理解する。
1,2,Ch0で確認した通り、普通のAIに質問すると、自分の教材に載ってない知識が混ざってくる。なぜか。普通のAIは「世界中の図書館を暗記している天才」だからだ。何でも答えられるのが強みだけど、あなたの学年や、今使っている教科書の範囲を空気で読んでくれるわけじゃない。結果、範囲外の解法で解説されたり、出典不明の情報が返ってきたりする。じゃあどうすればいい？答えを出す前に「この教材だけを見て答えて」と指定できたら最高だ。それを実現しているのがNotebookLM。
1,3,NotebookLMは、「あなたが渡した数冊の本だけを完璧に暗記して、机の上に置いている助手」と考えると直感的に分かる。記憶に頼らず、目の前に置かれた資料だけを信じるようにプログラムされている。これを「ソース制御型AI」と呼ぶ。ソースとは、AIに渡す資料のこと。PDF、Googleドキュメント、Webページ、画像、動画、音声──全部ソースになる。この仕組みがあるから、範囲外の知識の混入が物理的に起きない。
1,4,NotebookLMの本質を捉える3つのキーワードを押さえよう。1つ目、ソース。AIに渡す資料のこと。2つ目、RAG（ラグ）。Retrieval-Augmented Generation──直訳すると「検索で強化された生成」。NotebookLMが答えを作る仕組みの名前だ。3つ目、グラウンディング。回答に「どの資料のどこに書いてあるか」を明示する仕組み。この3つが揃うと、汎用AIとは別物のAIになる。
1,5,NotebookLMが答えを出す流れは2ステップ。ステップ1、検索。質問が来たら、まず渡された資料の中から関連する箇所を探す。ステップ2、生成。見つけた情報だけを使って、分かりやすい言葉で答えを作る。普通のAIは「答えっぽいもの」を想像で作るから、時々実在しない本を引用したり、習ってない公式を使ったりする。NotebookLMはまず資料を検索してから答える。だから渡した資料に書いてないことは答えようがない。これがRAGの肝だ。
1,6,さらに強力なのがグラウンディング。NotebookLMの回答には引用マークが付く。クリックすると、元の資料の該当箇所にジャンプできる。つまり「AIがそう言ったから正しい」じゃなくて、「この教科書のこのページに書いてある」と自分で検証できる。これはファクトチェックの習慣化に直結する。AIが何を言ったかより、自分の教材のどこに書いてあるかが最終的な根拠になる。これでAIの答えを鵜呑みにする時代は終わる。
1,7,ここまでで、NotebookLMが「渡した資料だけを読んで答えてくれるAI」だと理解できたはずだ。普通のAIが天才でも時々記憶違いをするのに対して、NotebookLMは記憶に頼らず目の前の資料を開いて答える助手。RAGで範囲外が混入せず、グラウンディングで検証もできる。これで「AIの答えが信頼できるか」の不安から解放される。次の疑問は「じゃあ何を渡せばいい？」。ここで素材の選び方が勝負になる。次の章で見ていこう。
2,1,この章では、NotebookLMに渡す素材を「何を・どう整理して」渡すかの判断基準を身につける。渡した資料がそのままAIの知識になるから、ここが一番差がつくポイント。良い素材を選べば優秀な家庭教師になるし、ノイズを混ぜると精度が落ちる。素材の優先順位、ノートブックの分割設計、3ステップの選定プロセス、NG例──これを押さえれば、素材選定で失敗しない。
2,2,NotebookLMは渡された資料に全てを賭けている。良い資料を渡せば優秀な家庭教師になるし、関係ない資料を混ぜるとAIの精度が落ちる。たとえば「数学のテスト対策」と言いながら英語のノートまで入れると、AIがどれを参照すべきか迷って混乱する。無料プランでも1つのノートブックに50ソースまで入るが、「入るから全部入れる」は悪手だ。大事なのは「何を、どれだけ、どう整理して渡すか」という設計者の視点。ここが決まれば、NotebookLMは強力な学習パートナーになる。
2,3,素材選定の優先順位は3段階だ。最優先は、自分の授業ノートと先生のプリント。これが「自分だけの一次情報」。先生の板書には先生が何を重視しているかが反映されている。自分のノートには自分がつまずいたポイントのメモがある。これ以上あなたの学習に寄り添った資料は存在しない。次点が、教科書と参考書のPDF。これは範囲を限定するための補助。そして避けるべきが、関係ない資料の混入。他教科や他単元を混ぜるとノイズになる。
2,4,もう一つ重要なのが、ノートブックの分割という設計思想。1つのノートブックに全教科を詰め込むんじゃなくて、「期末テスト用」「数学第3章用」のように目的別に分ける。こうするとAIが迷わない。目的に直結した資料だけが入っている状態だから、回答の精度も上がる。1教科1ノートブックではなく、1目的1ノートブックが正解。これがNotebookLM運用の基本設計だ。
2,5,実際の素材選定を3ステップに分解する。ステップ1、目的の言語化。たとえば「数学の期末テスト対策」と決める。この時点で、入れるべき資料の輪郭が決まる。ステップ2、一次情報の投入。その目的に直結する自分のノートと先生のプリントを最優先で入れる。スマホで撮影すればOCRで読み取れるから、清書はいらない。ステップ3、範囲限定のための補助資料。教科書や参考書の該当単元だけをPDF化して足す。これで土台は完成する。
2,6,失敗例を2つ紹介する。失敗例1、「何でも入れる病」。「あとで使うかも」で関係ない資料を入れると、AIの回答にノイズが混ざる。ノートブックの役割が曖昧になって、AIがどの資料を信じていいか迷う。失敗例2、「問題集だけ入れる」。答えのない問題集だけを渡しても、AIは解説を作れない。問題集と解説プリントは必ずセットで入れること。この2つのNGを踏まなければ、素材選定は9割成功する。
2,7,何を渡すかの判断基準が手に入った。授業ノート＋先生のプリントが最強の一次情報、教科書は範囲限定の補助、関係ない資料はノイズになる。そしてノートブックは目的別に分割する。素材が揃えば、NotebookLMは「あなた専用の教材を丸暗記した助手」に変わる。でもここで満足しちゃいけない。素材を揃えただけではまだ半分。残り半分は「どう質問するか」だ。次の章で、NotebookLMを最大限に活かす質問の型を設計する。
3,1,この章で身につけるのは、NotebookLMから最高の学びを引き出す「質問の型」。「教えて」だけで終わると、ただの検索と変わらない。NotebookLMの「ソース制御」という強みを活かすには、目的に合わせた聞き方が必要だ。理解確認型・テスト生成型・比較整理型の3つの型を、使いどころと一緒に手に入れる。
3,2,素材は揃った。最初にあなたがNotebookLMに打つのは、どんな質問？「二次関数を教えて」──多くの人がやってしまう質問だ。間違いじゃない。でもそれだと普通の検索とあまり変わらない。せっかく自分の教材を読ませているのに、「教えて」で終わらせるのはもったいない。例えるなら、フェラーリで近所のコンビニに行くようなもの。本当はもっと遠くに速く行ける。だから、目的に合わせた質問の型を使い分ける。それが次だ。
3,3,型①、理解確認型。分からない箇所を自分のレベルで解き直してもらう型。たとえば「このノートの5ページ目を、中学生でも分かるように要約して」と聞く。NotebookLMはあなたのノートを読んで、その範囲の中で噛み砕いた説明を作る。あるいは「この章の範囲で、私が間違えやすいポイントを3つ挙げて」と聞くと、自分では気づけない弱点が見えてくる。授業で分かったつもりになった箇所を深掘りする時に強い。
